Symbol,Name,Currency,Last Price,ADT (Value),Turnover Rate %,Market Cap,Exchange,Board
.IXIC.US,NASDAQ Composite Index,USD,23584.275,332427244011.20416,0.0,0.0,NASD,SecurityBoard.USNSDQ
.NDX.US,NASDAQ-100,,25653.896,229097667043.88458,0.0,0.0,,SecurityBoard.USNSDQ
IN00394.US,Information Technology,USD,1897.613,177349097286.36334,0.0,0.0,,SecurityBoard.USSector
CP00080.US,Gen AI,USD,16.756,126853179085.60567,0.0,0.0,,SecurityBoard.USSector
IN00402.US,Consumer Discretionary,USD,1427.837,83374907858.82133,0.0,0.0,,SecurityBoard.USSector
IN00297.US,Semiconductors,USD,5306.469,71874656293.33366,0.0,0.0,,SecurityBoard.USSector
IN00399.US,Financials,USD,1705.352,57598142845.221664,0.0,0.0,,SecurityBoard.USSector
IN00396.US,Industrials,USD,1468.952,54340492549.55134,0.0,0.0,,SecurityBoard.USSector
SPY.US,SPDR® S&P 500® ETF,USD,689.58,51086862107.14657,7.3498151399152025,702359376551.28,AMEX,SecurityBoard.Unknown
IN00392.US,Health Care,USD,1253.922,50690068089.15767,0.0,0.0,,SecurityBoard.USSector
IN00401.US,Communication Services,USD,1931.299,45713490101.68433,0.0,0.0,,SecurityBoard.USSector
IN00276.US,Automobile Manufacturers,USD,2014.767,34291497566.028667,0.0,0.0,,SecurityBoard.USSector
TSLA.US,"Tesla, Inc.",USD,431.41,33477462036.133335,2.211766384150294,1434791646835.47,NASD,SecurityBoard.Unknown
IN00357.US,Application Software,USD,1495.59,33022953975.676003,0.0,0.0,,SecurityBoard.USSector
NVDA.US,NVIDIA Corporation,USD,189.11,31371663557.433334,0.7098060389316433,4595183890000.0,NASD,SecurityBoard.Unknown
QQQ.US,Invesco QQQ Trust,USD,624.02,29702591091.766666,7.5320938381704865,398842383000.0,NASD,SecurityBoard.Unknown
IN00284.US,Interactive Media and Services,USD,3897.506,27132371269.042336,0.0,0.0,,SecurityBoard.USSector
CP00084.US,Duan Yongping Stocks,USD,17.092,24251159728.328,0.0,0.0,,SecurityBoard.USSector
IN00356.US,Systems Software,USD,2247.84,22229878062.712666,0.0,0.0,,SecurityBoard.USSector
IN00398.US,Consumer Staples,USD,1292.167,21463648881.74967,0.0,0.0,,SecurityBoard.USSector
IN00397.US,Materials,USD,1470.946,19656701907.227333,0.0,0.0,,SecurityBoard.USSector
IN00350.US,"Technology Hardware, Storage and Peripherals",USD,2291.517,18916854936.252003,0.0,0.0,,SecurityBoard.USSector
IN00400.US,Energy,USD,1146.473,17374887571.361,0.0,0.0,,SecurityBoard.USSector
IN00261.US,Biotechnology,USD,1793.304,15223221501.755667,0.0,0.0,,SecurityBoard.USSector
IN00372.US,Pharmaceuticals,USD,2101.653,13397983376.130001,0.0,0.0,,SecurityBoard.USSector
IN00378.US,Broadline Retail,USD,1322.365,13326397631.03,0.0,0.0,,SecurityBoard.USSector
AVGO.US,Broadcom Inc.,USD,343.5,13293165985.5471,0.7805154951074924,1628627549956.5,NASD,SecurityBoard.Unknown
AAPL.US,Apple Inc.,USD,260.33,11687415235.433899,0.28778887523870067,3846727976490.0,NASD,SecurityBoard.Unknown
IN00299.US,Aerospace and Defense,USD,2510.577,11415391121.359333,0.0,0.0,,SecurityBoard.USSector
MSFT.US,Microsoft Corporation,USD,483.47,11217206833.8362,0.313286681788418,3593331624862.85,NASD,SecurityBoard.Unknown
